Run,Micro-F1,Macro-F1
1,95.81,95.33
2,93.22,93.02
3,94.33,93.96
4,94.82,94.49
5,94.94,94.55
6,94.45,93.96
7,94.20,93.85
8,95.68,95.41
9,94.82,94.50
10,96.05,95.80

Mean,94.83,94.49
Std,0.81,0.80
