Run,Micro-F1,Macro-F1
1,95.68,95.15
2,94.45,94.24
3,94.33,94.01
4,95.19,94.95
5,93.96,93.45
6,95.31,94.91
7,94.45,94.10
8,95.31,95.05
9,94.45,94.13
10,96.42,96.16

Mean,94.96,94.62
Std,0.72,0.74
