Run,Micro-F1,Macro-F1
1,94.55,94.64
2,93.55,93.54
3,94.21,94.26
4,94.55,94.64
5,94.55,94.43
6,93.88,93.77
7,93.88,93.98
8,95.37,95.49
9,94.38,94.30
10,92.73,92.61

Mean,94.17,94.17
Std,0.67,0.73
