Run,Micro-F1,Macro-F1
1,71.68,68.06
2,70.96,67.21
3,71.78,69.15
4,69.88,66.28
5,70.07,66.63
6,69.77,66.12
7,70.05,66.27
8,70.34,67.41
9,69.50,65.63
10,69.77,65.50

Mean,70.38,66.83
Std,0.77,1.08
