Run,Micro-F1,Macro-F1
1,95.31,94.70
2,94.33,94.10
3,94.45,94.15
4,95.68,95.46
5,94.08,93.60
6,94.94,94.48
7,94.33,93.98
8,96.05,95.84
9,94.57,94.19
10,95.56,95.26

Mean,94.93,94.58
Std,0.65,0.69
