Run,Micro-F1,Macro-F1
1,72.33,68.46
2,70.70,66.48
3,70.79,67.61
4,70.10,66.42
5,70.86,67.77
6,69.79,65.66
7,70.48,65.52
8,69.76,65.94
9,69.16,65.44
10,70.94,67.75

Mean,70.49,66.71
Std,0.83,1.05
