Run,Micro-F1,Macro-F1
1,71.69,68.08
2,70.76,66.62
3,70.99,67.87
4,70.50,66.89
5,70.11,67.27
6,69.63,65.18
7,70.17,66.56
8,69.78,66.75
9,69.73,65.86
10,69.90,66.22

Mean,70.33,66.73
Std,0.63,0.83
