Run,Micro-F1,Macro-F1
1,94.88,94.96
2,93.72,93.71
3,94.55,94.59
4,94.88,95.00
5,95.21,95.10
6,94.05,93.95
7,94.21,94.34
8,95.04,95.17
9,94.55,94.45
10,92.23,92.03

Mean,94.33,94.33
Std,0.83,0.90
